"drug","library","arm","drug_regulation","Term","Overlap","P.value","Adjusted.P.value","Combined.Score","Genes"
"clonidine","DSigDB","UP","assoc","clonidine CTD 00005689","1/25",0.171650092688749,0.785849644101707,9.77049906759283,"APOA2"
"magnesium","DSigDB","UP","assoc","MAGNESIUM CTD 00006230","1/25",0.171650092688749,0.785849644101707,9.77049906759283,"IBSP"
"trifluoperazine","DSigDB","UP","assoc","trifluoperazine TTD 00011549","1/25",0.171650092688749,0.785849644101707,9.77049906759283,"HTR2C"
"titanium","DSigDB","UP","assoc","TITANIUM BOSS","2/100",0.172791328093857,0.785849644101707,4.7818540898178,"IGFBP1;MMP8"
"gonadorelin","DSigDB","UP","assoc","GONADORELIN BOSS","3/192",0.175051203220041,0.785849644101707,3.69968337539647,"IGFBP1;MUC16;CGB5"
"nortriptyline","DSigDB","UP","assoc","nortriptyline","1/26",0.177870483509336,0.785849644101707,9.18975029607362,"HTR2C"
"promethazine","DSigDB","UP","assoc","promethazine","1/26",0.177870483509336,0.785849644101707,9.18975029607362,"HTR2C"
"mitoxantrone","DSigDB","UP","assoc","Mitoxantrone dihydrochloride","1/26",0.177870483509336,0.785849644101707,9.18975029607362,"NPSR1"
"terconazole","DSigDB","UP","assoc","terconazole","1/26",0.177870483509336,0.785849644101707,9.18975029607362,"HTR2C"
"desipramine","DSigDB","UP","assoc","desipramine CTD 00005772","1/26",0.177870483509336,0.785849644101707,9.18975029607362,"ALPP"
"danazol","DSigDB","UP","assoc","danazol HL60 UP","5/398",0.179847063416583,0.785849644101707,2.92896127379141,"IBSP;ALPP;CGB5;CTAG2;CST4"
"dinoprostone","DSigDB","UP","assoc","Dinoprostone BOSS","3/196",0.182499554096603,0.785849644101707,3.53565669831638,"IGFBP1;MMP3;MMP8"
"promazine","DSigDB","UP","assoc","promazine","1/27",0.184044472173259,0.785849644101707,8.66124506385244,"HTR2C"
