"drug","library","arm","drug_regulation","Term","Overlap","P.value","Adjusted.P.value","Combined.Score","Genes"
"risperidone","DSigDB","UP","assoc","risperidone","1/27",0.184044472173259,0.785849644101707,8.66124506385244,"HTR2C"
"2,6,9,9-tetramethylcycloundeca-2,6,10-trien-1-one","DSigDB","UP","assoc","2,6,9,9-tetramethylcycloundeca-2,6,10-trien-1-one CTD 00003763","1/27",0.184044472173259,0.785849644101707,8.66124506385244,"MMP3"
"ici","DSigDB","UP","assoc","Ici 118551 CTD 00001255","1/27",0.184044472173259,0.785849644101707,8.66124506385244,"ALPP"
"perfluorohexanesulfonic","DSigDB","UP","assoc","Perfluorohexanesulfonic acid CTD 00004138","1/27",0.184044472173259,0.785849644101707,8.66124506385244,"APOA2"
"methysergide","DSigDB","UP","assoc","Methysergide maleate","1/28",0.190172402540718,0.785849644101707,8.17864674102816,"HTR2C"
"streptozotocin","DSigDB","UP","assoc","STREPTOZOTOCIN CTD 00006786","1/28",0.190172402540718,0.785849644101707,8.17864674102816,"MMP3"
"ezetimibe","DSigDB","UP","assoc","Ezetimibe BOSS","1/28",0.190172402540718,0.785849644101707,8.17864674102816,"NPSR1"
"nitazoxanide","DSigDB","UP","assoc","NITAZOXANIDE CTD 00001911","1/28",0.190172402540718,0.785849644101707,8.17864674102816,"NPSR1"
"carvedilol","DSigDB","UP","assoc","carvedilol","1/29",0.196254615900485,0.785849644101707,7.73657792284586,"HTR2C"
"olanzapine","DSigDB","UP","assoc","olanzapine","1/29",0.196254615900485,0.785849644101707,7.73657792284586,"HTR2C"
"clemastine","DSigDB","UP","assoc","clemastine","1/29",0.196254615900485,0.785849644101707,7.73657792284586,"HTR2C"
"carbon","DSigDB","UP","assoc","CARBON TETRACHLORIDE CTD 00005587","1/29",0.196254615900485,0.785849644101707,7.73657792284586,"APOA2"
"perfluorononanoic","DSigDB","UP","assoc","Perfluorononanoic acid CTD 00003375","1/29",0.196254615900485,0.785849644101707,7.73657792284586,"APOA2"
"thymolphthalein","DSigDB","UP","assoc","THYMOLPHTHALEIN CTD 00006891","1/29",0.196254615900485,0.785849644101707,7.73657792284586,"NPSR1"
"perphenazine","DSigDB","UP","assoc","perphenazine TTD 00010127","1/29",0.196254615900485,0.785849644101707,7.73657792284586,"HTR2C"
"clozapine","DSigDB","UP","assoc","clozapine TTD 00007243","1/29",0.196254615900485,0.785849644101707,7.73657792284586,"HTR2C"
"phenytoin","DSigDB","UP","assoc","phenytoin CTD 00006527","2/109",0.197071388838911,0.785849644101707,4.04980652768982,"COL11A1;MMP3"
"perphenazine","DSigDB","UP","assoc","perphenazine","1/30",0.202291451032449,0.785849644101707,7.33044797362135,"HTR2C"
