"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","32/2089","48/6339",1.67154578403632e-06,5.34894650891622e-05,4.36681338796091e-05,"1559/2944/1571/374875/27294/124/1545/373156/7367/2948/874/127/126/4258/128/2947/2938/1543/1576/4259/6822/2941/218/27306/8574/125/2052/2946/1645/873/2949/131",32
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","91/2089","184/6339",1.89696085188262e-06,5.56441849885569e-05,4.5427220400347e-05,"5970/775/2778/3991/3351/6751/5337/64399/10000/814/51196/5501/1395/5144/64091/5732/2740/6548/5465/10021/207/4659/815/3776/610/208/64208/2737/10488/115/493/387/1908/817/116/64764/2890/51806/1128/7074/5567/5443/4886/1259/6262/108/1129/818/6237/1907/51/5733/5566/1261/2891/491/7432/2903/4792/2353/5605/11149/111/2641/2770/4852/10411/7434/816/5894/2892/6750/5602/4881/482/5350/3360/3725/10398/2695/572/51738/2893/117/477/5595/8310/5906/801/5500/154",91
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","65/2089","122/6339",2.36500534858038e-06,6.40370679000226e-05,5.22790656001979e-05,"775/2782/4720/2566/2561/4725/3762/2562/2787/4709/4711/1432/4708/246213/4712/2786/4702/4696/2776/54331/4705/4698/4723/115/54539/4707/2557/2890/4722/126328/5567/4719/4697/4714/2791/11343/4700/4694/4717/108/5579/1268/4695/5566/2891/4716/55970/111/2775/2770/3708/2892/22999/5602/4731/2558/57030/4541/4713/4724/2893/374291/5595/57406/2788",65
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","47/2089","81/6339",2.72339292946156e-06,6.84738793693193e-05,5.59012232889479e-05,"775/2782/2778/5593/6261/3762/51655/2787/815/5592/2786/2776/54331/8913/115/8864/817/116/2890/51806/5567/8912/2791/6262/108/5579/818/5566/2891/2903/2353/6263/55970/111/2775/2770/3708/816/8863/2892/9252/4842/2893/117/5595/801/2788",47
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","78/2089","155/6339",4.4780341227535e-06,0.000105084534080615,8.57897063516986e-05,"5970/5580/4720/7048/4514/10000/4725/7381/5501/4709/7386/5728/2997/4711/5465/9167/1432/207/815/4708/208/4712/4702/4696/5165/4705/4698/6390/1347/6392/4723/54539/6391/817/4707/4722/1340/126328/4719/4697/4714/1349/4700/4694/4717/6262/5579/27089/818/1351/1329/7384/29796/4695/1376/1327/7417/4716/10975/185/7385/5162/816/5602/4731/5350/4541/4713/4724/5164/948/374291/1346/5166/6517/1215/5500/291",78
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","57/2089","106/6339",6.75715346232184e-06,0.00014500461508174,0.000118379963867569,"5588/5580/775/2778/133/140465/8605/10267/10266/147/4882/5501/50487/800/146/4659/5592/10268/5583/2776/5319/369/115/81579/387/1908/51806/5567/5322/108/5579/4660/5581/1907/3778/5566/4638/185/5605/59/111/2767/3708/5894/72/4881/54776/148/94274/4629/10398/3779/4880/5595/4637/801/5500",57
NA,NA,"hsa04082","Neuroactive ligand signaling","77/2089","154/6339",7.00306379656132e-06,0.00014500461508174,0.000118379963867569,"89832/2782/2778/2566/3351/5029/2561/6506/3359/3357/1137/2562/147/2900/2787/1143/6866/146/9127/1141/246213/6512/79627/2786/1131/6571/6530/2897/2776/2743/54331/5179/115/2557/2890/1128/6863/2898/5567/64805/2774/5443/2791/108/5579/1129/1132/2901/6865/5028/5566/2891/2903/5023/55970/111/2767/2775/2770/3274/6572/5368/2892/6869/2558/57030/148/3360/2893/3363/2899/6532/60482/9934/22953/154/2788",77
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","43/2089","75/6339",1.09967509622938e-05,0.000215047574373745,0.000175562164485742,"5190/5825/83594/11264/5052/5826/6647/8504/3418/5195/373156/55825/51268/8800/23305/225/2180/26061/4598/10005/1891/3295/5264/1384/8528/54677/51/92960/196743/25824/2053/3155/847/6342/5827/10901/5824/23417/8309/10654/54511/30/8310",43
NA,NA,"hsa04081","Hormone signaling","79/2089","161/6339",1.30540733113423e-05,0.000240808810157802,0.000196593316905143,"7433/7067/2782/6567/2778/5593/6751/6753/3479/10267/658/10266/147/4882/3952/2787/269/51094/4089/1395/6777/2740/146/5744/2834/5592/10268/4352/2786/2776/8471/657/7068/54331/79602/5179/115/554/387/2099/885/5567/5443/2791/4295/108/4883/3953/4093/5566/7432/114131/2862/185/55970/111/2981/2767/2775/2641/2770/10411/7434/5368/886/6750/4881/155/148/9370/4842/2695/5745/51738/887/4880/2690/154/2788",79
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","60/2089","115/6339",1.3682318758966e-05,0.000240808810157802,0.000196593316905143,"775/2782/2778/5522/10000/3762/3800/55012/5501/2787/1432/207/815/5518/55844/208/5533/2786/3798/6571/5526/2776/5527/5525/54331/10488/817/64764/2890/51806/5567/2774/2791/5532/5516/5579/818/5566/2891/2903/2353/55970/111/2775/408/5521/2770/3708/816/2892/5602/50632/4129/5523/468/4128/2893/801/5500/2788",60
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","28/2089","43/6339",1.48451751763878e-05,0.000248833412480405,0.000203144502413728,"2330/1559/2944/1571/1557/124/373156/7367/2948/127/126/4258/128/2947/316/2938/1576/4259/2329/2941/218/27306/4129/4128/125/2946/2949/131",28
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","64/2089","125/6339",1.57800413544827e-05,0.000252480661671723,0.000206122071281041,"775/2778/140465/1827/8605/6261/3762/5565/814/4882/785/5501/5571/4208/781/4659/3768/815/60/4776/5533/2776/115/387/817/51806/57118/5567/783/5532/9254/8536/6262/108/5579/818/4660/5566/4638/5607/2353/6263/5563/5605/51422/111/1938/2775/2770/5598/3708/816/5894/4881/54776/3725/55799/10398/1026/5595/5997/4637/801/5500",64
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","27/2089","43/6339",5.51779398481443e-05,0.000844462383762903,0.000689408584830361,"197322/1892/501/27034/26275/594/316/5019/18/35/1629/3155/549/223/5095/217/84693/36/224/38/3030/54511/30/34/3033/3032/4329",27
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","25/2089","39/6339",6.33122024280529e-05,0.000928578968944776,0.000758080318546423,"1559/2944/1571/374875/1557/1545/373156/7367/2948/4258/6817/1562/2947/2938/1543/1576/4259/6822/2941/27306/2052/2946/1646/873/2949",25
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","37/2089","66/6339",8.6731730219206e-05,0.00118902488062703,0.000970705120846829,"1622/2169/10999/123/364/79966/5465/1593/7314/10873/5106/23305/6257/5467/2180/335/51129/345/51/1376/6342/28965/440503/10580/5346/9370/4199/7316/6256/8309/2167/948/33/30/34/8310/6258",37
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","40/2089","73/6339",9.06112358122722e-05,0.00118902488062703,0.000970705120846829,"775/2778/9699/3781/2740/27445/815/1131/2776/6514/6616/10488/115/817/116/64764/885/5567/6262/108/5579/818/3778/2645/5566/5864/6833/111/2767/2641/816/886/482/468/3782/2695/3779/117/477/6844",40
