"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Ecabet Up","13/246",4.42429015308476e-08,8.69231953111394e-06,0,0,7.98912941323893,135.284489314345,"GPX3;FHL1;MT1X;ADRB2;PTN;KLF4;S100B;LYVE1;MAF;PLP1;YPEL5;SH3GL2;GPM6B"
"Noscapine Down","13/246",4.42429015308476e-08,8.69231953111394e-06,0,0,7.98912941323893,135.284489314345,"CFD;BTG2;GSN;HPGD;HSPB8;TSC22D3;AKR1C1;NCOA4;AKR1C2;PTN;ELL2;CLEC3B;PPP1R3C"
"JTC-801 Down","13/246",4.42429015308476e-08,8.69231953111394e-06,0,0,7.98912941323893,135.284489314345,"CFD;P2RY14;MT1M;HBB;MT1X;S100B;LYVE1;MAF;GNG7;PLP1;DNASE1L3;GPM6B;SIDT2"
"Coumophos Down","13/246",4.42429015308476e-08,8.69231953111394e-06,0,0,7.98912941323893,135.284489314345,"PCSK2;GSN;HPGD;HSPB8;P2RY14;MT1M;ADRB2;PTN;KLF4;S100B;PINK1;MAF;GPM6B"
"Cyclohexylaminehcl Up","13/247",4.64029281587862e-08,8.69231953111394e-06,0,0,7.95458231954582,134.320307623654,"HPGD;MT1M;FHL1;HBB;ABHD6;ADRB2;S100B;ID4;PLP1;IGFBP6;DNASE1L3;GPM6B;SIDT2"
"Tryptamine Up","13/247",4.64029281587862e-08,8.69231953111394e-06,0,0,7.95458231954582,134.320307623654,"PMM1;HPGD;HSPB8;TSC22D3;AKR1C1;MT1M;EPHX1;AKR1C2;KAT2B;CLEC3B;INPP5A;PPP1R3C;SLC7A8"
"TAK-733 Up","13/247",4.64029281587862e-08,8.69231953111394e-06,0,0,7.95458231954582,134.320307623654,"BTG2;HSPB8;TSC22D3;AKR1C1;ROGDI;EPHX1;FHL1;AKR1C2;MYL6;MAF;YPEL5;SIDT2;LHPP"
"RG-2833 Up","13/247",4.64029281587862e-08,8.69231953111394e-06,0,0,7.95458231954582,134.320307623654,"CFD;GPX3;HSPB8;MT1M;EPHX1;AKR1C2;MT1X;ABHD6;TMEM100;CLEC3B;ID4;IGFBP6;SIDT2"
"Tiabendazole Down","13/247",4.64029281587862e-08,8.69231953111394e-06,0,0,7.95458231954582,134.320307623654,"CFD;RNF11;GPX3;AKR1C1;MT1M;FAM107A;AKR1C2;MT1X;CLEC3B;ID4;MAL;IGFBP6;GPM6B"
"ML-89-9 Down","13/247",4.64029281587862e-08,8.69231953111394e-06,0,0,7.95458231954582,134.320307623654,"HPGD;HSPB8;EPHX1;AKR1C2;ABHD6;PTN;CYB5R1;DHRS7;MAL;YPEL5;ASPA;SLC25A4;LHPP"
"Atizoram Down","13/247",4.64029281587862e-08,8.69231953111394e-06,0,0,7.95458231954582,134.320307623654,"HPGD;HSPB8;AKR1C1;FHL1;HBB;AKR1C2;ADRB2;KLF4;TMEM100;DHRS7;MICALL1;NCAM1;YPEL5"
"U-0126 Up","13/248",4.8657509437927e-08,8.69231953111394e-06,0,0,7.92032924367138,133.366144652341,"CFD;GPX3;HSPB8;TSC22D3;AKR1C1;MT1M;FHL1;AKR1C2;CLEC3B;MAF;PPP1R3C;IGFBP6;SIDT2"
"CHEMBL-1222381 Up","13/248",4.8657509437927e-08,8.69231953111394e-06,0,0,7.92032924367138,133.366144652341,"CFD;HPGD;GPX3;HSPB8;AKR1C1;FHL1;AKR1C2;PTN;CLEC3B;DHRS7;PPP1R3C;SLC25A4;GPM6B"
"Chrysenequinone Up","13/248",4.8657509437927e-08,8.69231953111394e-06,0,0,7.92032924367138,133.366144652341,"CFD;STX12;GPX3;HSPB8;AKR1C1;MT1M;HBB;AKR1C2;MT1X;KLF4;TMEM100;CLEC3B;GPM6B"
"Bavisant Up","13/248",4.8657509437927e-08,8.69231953111394e-06,0,0,7.92032924367138,133.366144652341,"CFD;BTG2;GPX3;MT1M;FAM107A;MT1X;ABHD6;PTN;NDRG2;S100B;MAF;PLP1;GPM6B"
"ICI-118551 Down","13/248",4.8657509437927e-08,8.69231953111394e-06,0,0,7.92032924367138,133.366144652341,"CBX7;CA11;BTG2;CITED2;TSC22D3;MT1M;MT1X;INPP5A;PPP1R3C;MKNK2;NCAM1;FBXL5;YPEL5"
"Dapivirine Down","13/248",4.8657509437927e-08,8.69231953111394e-06,0,0,7.92032924367138,133.366144652341,"STX12;FHL1;FAM107A;HBB;AQP4;ADRB2;NDRG2;KLF4;ID4;MAL;SOSTDC1;YPEL5;GPM6B"
"Rimexolone Up","13/249",5.10102991887424e-08,8.69231953111394e-06,0,0,7.88636644810095,132.421858191354,"CFD;CITED2;TSC22D3;MT1M;NCOA4;FAM107A;HBB;AKR1C2;MT1X;ADRB2;INPP5A;MKNK2;GPM6B"
