"variable","label","n","threshold","pos_rate","tp_rate","fp_rate","harm","net_benefit"
"all","Treat All",300,0.22,0.399999999999999,0.399999999999999,0.600000000000001,0,0.230769230769229
"all","Treat All",300,0.23,0.399999999999999,0.399999999999999,0.600000000000001,0,0.220779220779219
"all","Treat All",300,0.24,0.399999999999999,0.399999999999999,0.600000000000001,0,0.210526315789472
"all","Treat All",300,0.25,0.399999999999999,0.399999999999999,0.600000000000001,0,0.199999999999998
"all","Treat All",300,0.26,0.399999999999999,0.399999999999999,0.600000000000001,0,0.189189189189188
"all","Treat All",300,0.27,0.399999999999999,0.399999999999999,0.600000000000001,0,0.17808219178082
"all","Treat All",300,0.28,0.399999999999999,0.399999999999999,0.600000000000001,0,0.166666666666665
"all","Treat All",300,0.29,0.399999999999999,0.399999999999999,0.600000000000001,0,0.154929577464787
"all","Treat All",300,0.3,0.399999999999999,0.399999999999999,0.600000000000001,0,0.142857142857141
"all","Treat All",300,0.31,0.399999999999999,0.399999999999999,0.600000000000001,0,0.130434782608694
"all","Treat All",300,0.32,0.399999999999999,0.399999999999999,0.600000000000001,0,0.117647058823528
"all","Treat All",300,0.33,0.399999999999999,0.399999999999999,0.600000000000001,0,0.104477611940297
"all","Treat All",300,0.34,0.399999999999999,0.399999999999999,0.600000000000001,0,0.0909090909090891
"all","Treat All",300,0.35,0.399999999999999,0.399999999999999,0.600000000000001,0,0.076923076923075
"all","Treat All",300,0.36,0.399999999999999,0.399999999999999,0.600000000000001,0,0.0624999999999981
"all","Treat All",300,0.37,0.399999999999999,0.399999999999999,0.600000000000001,0,0.0476190476190457
"all","Treat All",300,0.38,0.399999999999999,0.399999999999999,0.600000000000001,0,0.0322580645161271
"all","Treat All",300,0.39,0.399999999999999,0.399999999999999,0.600000000000001,0,0.0163934426229488
"all","Treat All",300,0.4,0.399999999999999,0.399999999999999,0.600000000000001,0,-2.05391259555654e-15
"all","Treat All",300,0.41,0.399999999999999,0.399999999999999,0.600000000000001,0,-0.0169491525423749
"all","Treat All",300,0.42,0.399999999999999,0.399999999999999,0.600000000000001,0,-0.0344827586206917
"all","Treat All",300,0.43,0.399999999999999,0.399999999999999,0.600000000000001,0,-0.0526315789473705
"all","Treat All",300,0.44,0.399999999999999,0.399999999999999,0.600000000000001,0,-0.0714285714285736
"all","Treat All",300,0.45,0.399999999999999,0.399999999999999,0.600000000000001,0,-0.090909090909093
"all","Treat All",300,0.46,0.399999999999999,0.399999999999999,0.600000000000001,0,-0.111111111111113
"all","Treat All",300,0.47,0.399999999999999,0.399999999999999,0.600000000000001,0,-0.132075471698116
"all","Treat All",300,0.48,0.399999999999999,0.399999999999999,0.600000000000001,0,-0.153846153846156
"all","Treat All",300,0.49,0.399999999999999,0.399999999999999,0.600000000000001,0,-0.176470588235296
"all","Treat All",300,0.5,0.399999999999999,0.399999999999999,0.600000000000001,0,-0.200000000000002
"none","Treat None",300,0,0.399999999999999,0,0,0,0
"none","Treat None",300,0.01,0.399999999999999,0,0,0,0
"none","Treat None",300,0.02,0.399999999999999,0,0,0,0
"none","Treat None",300,0.03,0.399999999999999,0,0,0,0
