feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MPZ	status	Tumor	-1.6692598751974	0.114115837136249	855	387	2.21980174891344e-43	5.46749199239762e-42
CHEK1	status	Tumor	1.65880529028658	0.113434384397642	855	419	2.33438303894303e-43	5.72152705623292e-42
ADAM12	status	Tumor	1.65860009268136	0.113608333155601	855	375	3.10049379269835e-43	7.5621799821911e-42
FANCD2	status	Tumor	1.6581577629256	0.11358685135256	855	426	3.14195704596135e-43	7.62610933485765e-42
SGO2	status	Tumor	1.65711237454945	0.113528231691529	855	422	3.20409273635121e-43	7.70214600084426e-42
CCDC150	status	Tumor	1.65763360122924	0.113562735214001	855	412	3.19827803733977e-43	7.70214600084426e-42
SHCBP1	status	Tumor	1.65434963814301	0.113384236354943	855	434	3.43065271788853e-43	8.20730315284338e-42
CBFB	status	Tumor	1.66685373826588	0.114245002134007	855	433	3.45007452089982e-43	8.21446314499958e-42
GDF15	status	Tumor	1.6563138261364	0.113597230068128	855	447	3.86013808675268e-43	9.1472466510727e-42
ORC6	status	Tumor	1.65736815214637	0.113753516914005	855	417	4.37879337052577e-43	1.03273428550136e-41
SPDL1	status	Tumor	1.6654693625174	0.114364478842704	855	411	4.75270597251744e-43	1.1156586789947e-41
CENPK	status	Tumor	1.6542644700814	0.113671886402102	855	432	5.33297823905041e-43	1.24602295304916e-41
CEMIP	status	Tumor	1.65565855841405	0.113780528314081	855	381	5.43651770993882e-43	1.26430644417182e-41
CDCA8	status	Tumor	1.65968232699988	0.114092867155786	855	461	5.73497998707949e-43	1.32754166367581e-41
ETFDH	status	Tumor	-1.65275504896917	0.113742243535523	855	432	6.92003268499447e-43	1.59447757718767e-41
GEN1	status	Tumor	1.6584373376165	0.114141554649334	855	439	7.00559985658105e-43	1.60678895793143e-41
NUDCD1	status	Tumor	1.6527905488606	0.113856166391914	855	408	8.17195215874122e-43	1.86574250199571e-41
CDC7	status	Tumor	1.64937959726031	0.113635899679374	855	435	8.35328674241073e-43	1.8984742596388e-41
KIF20B	status	Tumor	1.65525955999753	0.114051449415162	855	419	8.48400097462666e-43	1.91945723407843e-41
PLK4	status	Tumor	1.65510474202386	0.114053200819394	855	426	8.64208469065781e-43	1.94641547086888e-41
TEAD4	status	Tumor	1.64855102699113	0.113683888273151	855	441	9.77032927003523e-43	2.1839276141826e-41
CHODL	status	Tumor	-1.6580631304543	0.114340785685592	855	441	9.78399571153806e-43	2.1839276141826e-41
