"gene","module_membership","gene_significance","hub_score"
"CEP70",0.478374078258693,NA,NA
"PMPCB",0.478072040893348,NA,NA
"DIS3",0.477203207164224,NA,NA
"USP28",0.476906009468068,NA,NA
"FCF1",0.475892071553523,NA,NA
"FNDC3A",0.475853325881012,NA,NA
"WRN",0.475587420189628,NA,NA
"PAXIP1",0.47545743651386,NA,NA
"CMPK1",0.475014514759973,NA,NA
"PPM1D",0.474618506853072,NA,NA
"BTBD1",0.474548695091168,NA,NA
"ADNP2",0.474490635597588,NA,NA
"CCNH",0.474207779243095,NA,NA
"ACTR8",0.473555480912318,NA,NA
"VPS54",0.472916583114251,NA,NA
"EIF3E",0.472827454529995,NA,NA
"NAA16",0.472202285443365,NA,NA
"MED30",0.472015724752673,NA,NA
"GPHN",0.471799188292622,NA,NA
"GTF2A2",0.471741170973427,NA,NA
"FUT10",0.471343364633224,NA,NA
"HSDL2",0.47132278456611,NA,NA
"C2orf69",0.47112867765819,NA,NA
"MRPS31",0.470863849580124,NA,NA
"MRPL35",0.47078894527194,NA,NA
"ALKBH2",0.470430420404724,NA,NA
"CCDC117",0.46998293780727,NA,NA
"EIF2B3",0.469930006707151,NA,NA
"ZNF616",0.469858952050468,NA,NA
"YES1",0.469306231754334,NA,NA
"NUDT2",0.468647508422941,NA,NA
"NDUFA8",0.468360082903148,NA,NA
"MRPS9",0.468173462375448,NA,NA
"APEX1",0.467662880431885,NA,NA
"COG6",0.467613238296604,NA,NA
"SLC17A5",0.467558771566259,NA,NA
"ORC3",0.467120419362785,NA,NA
"QRSL1",0.466811524876868,NA,NA
"LSM6",0.466729632755573,NA,NA
"ZCCHC10",0.466725539811148,NA,NA
"ATF2",0.466400929272343,NA,NA
"UBE2V2",0.466125999447931,NA,NA
"TOMM20",0.466066987963216,NA,NA
"TTC19",0.465616962030787,NA,NA
"NSMCE2",0.465400767997221,NA,NA
"ZCCHC8",0.465398861548555,NA,NA
"YTHDF2",0.465254225469799,NA,NA
"RPUSD4",0.464860326411245,NA,NA
"HLCS",0.464669809418235,NA,NA
"HMGN4",0.464446053185457,NA,NA
"TAF12",0.464222692492229,NA,NA
"GOSR1",0.464208367206338,NA,NA
"WAC",0.463714836841005,NA,NA
"MCM9",0.461638761822815,NA,NA
"LYRM2",0.461409492311065,NA,NA
"EXOSC7",0.461219088633413,NA,NA
"CETN3",0.460905790567564,NA,NA
"STAM2",0.45989724538678,NA,NA
"LGALS8",0.459677394481622,NA,NA
"MORC4",0.459438273416059,NA,NA
"NPM1",0.459434716342232,NA,NA
"BAG5",0.458746366885534,NA,NA
"CDKN2AIP",0.458349107819352,NA,NA
"KCTD6",0.45740910811129,NA,NA
"RFX7",0.457261669091746,NA,NA
"MTMR6",0.455907928269799,NA,NA
"SNAPC3",0.455778919992389,NA,NA
"ZNF35",0.455375619804285,NA,NA
"FASTKD2",0.455017221601191,NA,NA
"PIGC",0.454976571513723,NA,NA
"RPA3",0.454766464952488,NA,NA
"CD58",0.454503473997656,NA,NA
"USP48",0.454324473440163,NA,NA
"PDHX",0.454048506112651,NA,NA
"C16orf87",0.452999062007509,NA,NA
"CHMP5",0.451690319761734,NA,NA
"DNAJA2",0.451645474004287,NA,NA
"RWDD4",0.4512273494583,NA,NA
"COPB2",0.451187037868221,NA,NA
"COG5",0.451132351906825,NA,NA
"PRPS2",0.450982299494833,NA,NA
"GDE1",0.450661727244029,NA,NA
"COX18",0.449447125031764,NA,NA
"UBE2F",0.449308923648849,NA,NA
"NFX1",0.449257413112144,NA,NA
"CCDC59",0.44917412444106,NA,NA
"TMEM18",0.449153715268303,NA,NA
"INTS6",0.44867941619009,NA,NA
"PIGB",0.448634737502291,NA,NA
"SNX7",0.447904040462491,NA,NA
"ANP32B",0.447870204698686,NA,NA
"COIL",0.446337682876999,NA,NA
"MKKS",0.446327998366711,NA,NA
"THG1L",0.446276850391069,NA,NA
"IBTK",0.446236892340781,NA,NA
"EIF1AX",0.445964112652759,NA,NA
"GALNT1",0.444688197955454,NA,NA
"FARSB",0.444496691556812,NA,NA
"HSPA4L",0.444494519873217,NA,NA
"MEX3C",0.444308548005729,NA,NA
"NDUFAF4",0.444166162417355,NA,NA
"UBE2A",0.443921227504402,NA,NA
"MRPS35",0.443822978245173,NA,NA
"KCTD9",0.443798299708143,NA,NA
"MRPL45",0.443743810345491,NA,NA
