"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_id_clean","sig","hgnc_symbol","gene_biotype"
"ENSG00000134627.12",0.94002709657823,2.9052507460943,4.38512616184571,0.0000144482288527857,0.0000578522621315987,2.32265429630461,"ENSG00000134627","NS","PIWIL4","piwi like RNA-mediated gene silencing 4"
"ENSG00000174428.18",-0.519460510470307,2.32578499666647,-4.3846629354162,0.0000144777395615613,0.0000579596047484122,2.26117518829509,"ENSG00000174428","NS","GTF2IRD2B","GTF2I repeat domain containing 2B"
"ENSG00000256433.3",1.05940748435157,-0.200635570227799,4.38415752916216,0.0000145100032017765,0.0000580779262159947,2.63142347306343,"ENSG00000256433","Up",NA,NA
"ENSG00000177045.10",-0.61705614685782,2.81862739755114,-4.38406504671011,0.0000145159144489617,0.0000580907447793307,2.19039571366345,"ENSG00000177045","NS","SIX5","SIX homeobox 5"
"ENSG00000175279.22",0.774436760857133,0.530927010900853,4.38353938277645,0.000014549557366646,0.0000582145162845318,2.51570522792253,"ENSG00000175279","NS","CENPS","centromere protein S"
"ENSG00000089116.4",-1.5693768119229,-4.11197148900481,-4.3826286492862,0.000014608021715359,0.0000584351220783947,2.75773040201101,"ENSG00000089116","Down","LHX5","LIM homeobox 5"
"ENSG00000151465.14",0.444115484132376,5.36575951689563,4.38259567198197,0.000014610142897713,0.0000584351220783947,1.96731522650479,"ENSG00000151465","NS","CDC123","cell division cycle 123"
"ENSG00000115207.13",0.319762854857734,5.69748651386487,4.38201482245066,0.0000146475529295878,0.0000585738243758979,1.9249402793868,"ENSG00000115207","NS","GTF3C2","general transcription factor IIIC subunit 2"
"ENSG00000133142.18",-0.63825148724049,5.10885912061703,-4.38172153301404,0.0000146664772506225,0.0000586385665765938,1.90871714050813,"ENSG00000133142","NS","TCEAL4","transcription elongation factor A like 4"
"ENSG00000223959.8",0.519425284879544,3.53099813289045,4.38139488886545,0.0000146875812978322,0.0000587119978589579,2.20651078947896,"ENSG00000223959","NS","AFG3L1P","AFG3 like matrix AAA peptidase subunit 1, pseudogene"
"ENSG00000095464.10",1.20042345773381,-1.92103664104423,4.38095529642831,0.0000147160286490405,0.000058814750355446,2.78032814449186,"ENSG00000095464","Up","PDE6C","phosphodiesterase 6C"
"ENSG00000123739.11",-0.371824279335936,4.44041321060411,-4.38073928031828,0.0000147300270114574,0.0000588597278344913,1.98635205192921,"ENSG00000123739","NS","PLA2G12A","phospholipase A2 group XIIA"
"ENSG00000064763.11",1.05018105855967,4.13067555382134,4.38006184228699,0.0000147740092910786,0.0000590198826595396,2.18010657384644,"ENSG00000064763","Up","FAR2","fatty acyl-CoA reductase 2"
"ENSG00000257108.2",-0.821685032839759,-1.59501701421266,-4.38003721087331,0.0000147756108364762,0.0000590198826595396,2.58356373064532,"ENSG00000257108","NS","NHLRC4","NHL repeat containing 4"
"ENSG00000145248.7",-1.30379094978576,-2.44448227812737,-4.37974229703912,0.0000147947991686599,0.0000590855238307411,2.64398520830142,"ENSG00000145248","Down","SLC10A4","solute carrier family 10 member 4"
"ENSG00000215840.3",0.690817538276403,-0.836863500665299,4.37946768842941,0.0000148126877905487,0.0000591459509134438,2.63818268169062,"ENSG00000215840","NS",NA,NA
"ENSG00000100592.16",-0.479974708281964,5.07795474083516,-4.37925511525247,0.0000148265494921172,0.0000591902793015536,1.91199774673618,"ENSG00000100592","NS","DAAM1","dishevelled associated activator of morphogenesis 1"
"ENSG00000242741.2",-1.61808653529506,-3.40824104967395,-4.37834313316901,0.0000148861599625,0.000059417194594412,2.69144119156612,"ENSG00000242741","Down",NA,NA
"ENSG00000166317.12",-1.19195726100692,-1.92222366766234,-4.37630978339146,0.0000150198937065247,0.000059932323748059,2.5933900637867,"ENSG00000166317","Down","SYNPO2L","synaptopodin 2 like"
"ENSG00000113555.6",0.769939748669343,3.50811360732647,4.37629594755445,0.0000150208076166099,0.000059932323748059,2.21042173872501,"ENSG00000113555","NS","PCDH12","protocadherin 12"
"ENSG00000271130.1",-1.69463542869884,-2.3153067867865,-4.37590351686509,0.0000150467513321731,0.0000600246705858973,2.53345086789003,"ENSG00000271130","Down","IGHV3OR16-8","immunoglobulin heavy variable 3/OR16-8 (non-functional)"
"ENSG00000070831.17",-0.332008696680244,7.92133259043487,-4.37583123114871,0.0000150515348364019,0.0000600325862193555,1.83219717251686,"ENSG00000070831","NS","CDC42","cell division cycle 42"
"ENSG00000167693.17",-0.911935392141774,4.81163754866256,-4.37570458992681,0.0000150599188210979,0.0000600548566450846,1.89052140193208,"ENSG00000167693","NS","NXN","nucleoredoxin"
"ENSG00000177469.13",-0.907187217091319,7.22034740180305,-4.3755327836233,0.0000150712999958213,0.0000600830475800436,1.82921417487735,"ENSG00000177469","NS","CAVIN1","caveolae associated protein 1"
"ENSG00000116717.13",-0.520952617435339,4.69951571164701,-4.37551329629635,0.00001507259143806,0.0000600830475800436,1.91891300879045,"ENSG00000116717","NS","GADD45A","growth arrest and DNA damage inducible alpha"
"ENSG00000164535.15",0.379800724358543,4.43215188516097,4.3752642713942,0.0000150891038594828,0.0000601376921335195,2.03926125423313,"ENSG00000164535","NS","DAGLB","diacylglycerol lipase beta"
"ENSG00000172922.11",-0.467733649055303,4.40333481728612,-4.37271944861667,0.0000152588417881545,0.0000608028838700782,1.94399060333505,"ENSG00000172922","NS","RNASEH2C","ribonuclease H2 subunit C"
"ENSG00000270804.1",0.694052415453442,0.384265444186729,4.37258505552126,0.0000152678563034533,0.0000608275025606277,2.47500894005755,"ENSG00000270804","NS",NA,NA
"ENSG00000117400.18",-0.683880987583355,0.107014935456338,-4.37247709921957,0.0000152751012409348,0.0000608450633753878,2.39892709648752,"ENSG00000117400","NS","MPL","MPL proto-oncogene, thrombopoietin receptor"
"ENSG00000118113.12",2.60155767231739,-3.06928916439512,4.37208557298544,0.0000153014041314154,0.0000609385168063761,2.81004419971676,"ENSG00000118113","Up","MMP8","matrix metallopeptidase 8"
"ENSG00000214140.11",-0.709670344910886,-0.714215543599655,-4.37122350497017,0.0000153594710103246,0.0000611584135327555,2.4619308531702,"ENSG00000214140","NS","PRCD","photoreceptor disc component"
"ENSG00000278970.2",-0.577511756279472,1.68026737855773,-4.37100297540941,0.0000153743591873714,0.0000612063313778294,2.25959753368001,"ENSG00000278970","NS","ZFP62","ZFP62 zinc finger protein"
"ENSG00000083290.20",-0.722862489043684,3.66361999421329,-4.37060470832268,0.0000154012815904626,0.0000613021315866854,2.01345589701292,"ENSG00000083290","NS","ULK2","unc-51 like autophagy activating kinase 2"
"ENSG00000185418.16",-0.46573330803986,3.36604443485478,-4.36994958389156,0.0000154456653852057,0.0000614673853871072,2.07275989818202,"ENSG00000185418","NS","TARS3","threonyl-tRNA synthetase 3"
"ENSG00000188641.14",-0.916987035747218,4.25280497941739,-4.36942310352158,0.0000154814223609331,0.0000615982530524252,1.91227632461688,"ENSG00000188641","NS","DPYD","dihydropyrimidine dehydrogenase"
"ENSG00000205309.14",-0.779087529450182,0.372910518890619,-4.36861968780933,0.0000155361406067912,0.0000618045022172592,2.34962209018371,"ENSG00000205309","NS","NT5M","5',3'-nucleotidase, mitochondrial"
"ENSG00000167618.10",2.05557424793929,-1.17653280497359,4.36857505964227,0.0000155391855149748,0.0000618051506962444,2.71713941565952,"ENSG00000167618","Up","LAIR2","leukocyte associated immunoglobulin like receptor 2"
"ENSG00000067560.13",-0.338832419494258,8.85288300886469,-4.36834265252718,0.0000155550515078789,0.0000618442037871011,1.81358011118322,"ENSG00000067560","NS","RHOA","ras homolog family member A"
"ENSG00000055950.16",-0.406072509705522,5.2100981688839,-4.36830935606308,0.0000155573258629278,0.0000618442037871011,1.85610208937545,"ENSG00000055950","NS","MRPL43","mitochondrial ribosomal protein L43"
"ENSG00000285756.2",0.830577387353507,3.12099678063066,4.36830453086403,0.0000155576554803418,0.0000618442037871011,2.22133431867154,"ENSG00000285756","NS","LOC389906","zinc finger protein 839 pseudogene"
"ENSG00000144214.10",1.13414624088188,-0.813489722544253,4.36751341076485,0.0000156117886424518,0.0000620478908869573,2.63114706079454,"ENSG00000144214","Up","LYG1","lysozyme g1"
"ENSG00000204574.14",0.359427422788936,6.53636362815973,4.3667433732329,0.0000156646522025105,0.0000622464575013969,1.81401680876324,"ENSG00000204574","NS","ABCF1","ATP binding cassette subfamily F member 1"
"ENSG00000165156.15",-0.391596428867851,5.47023555629662,-4.36668047546333,0.0000156689777292273,0.0000622521112228618,1.83397523374872,"ENSG00000165156","NS","ZHX1","zinc fingers and homeoboxes 1"
"ENSG00000197043.14",-0.821787656260421,6.34529742668805,-4.36561994972075,0.0000157420831313208,0.0000625253451874163,1.78856427038937,"ENSG00000197043","NS","ANXA6","annexin A6"
"ENSG00000142089.16",0.699444575132143,9.01066698306729,4.3655982522473,0.0000157435822070338,0.0000625253451874163,1.79227088385949,"ENSG00000142089","NS","IFITM3","interferon induced transmembrane protein 3"
"ENSG00000106003.13",0.923598669170118,5.64097630976885,4.36543649185608,0.0000157547625162894,0.0000625581627336312,1.90105037734707,"ENSG00000106003","NS","LFNG","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"ENSG00000130560.9",-0.366333877834531,5.07739247143126,-4.36465678897368,0.000015808759439692,0.0000627609505634276,1.85533270270552,"ENSG00000130560","NS","UBAC1","UBA domain containing 1"
"ENSG00000127507.18",1.05499142357895,2.81574560398011,4.36459157847378,0.0000158132834879011,0.0000627672918159404,2.25374880204139,"ENSG00000127507","Up","ADGRE2","adhesion G protein-coupled receptor E2"
"ENSG00000145780.8",-0.442945099639455,5.27272770383767,-4.36429680958211,0.0000158337488489174,0.0000628368944881353,1.83481596448508,"ENSG00000145780","NS","FEM1C","fem-1 homolog C"
