"gene","logFC","AveExpr","t","P.Value","adj.P.Val","sig"
"SPC25",1.36522554923964,-0.02359784918694,6.74243413426888,1.55828857429322e-11,1.91432041141031e-09,"Up"
"ADNP",1.3636734538899,-0.0236581693760642,6.73476880697437,1.64268453986972e-11,1.99896112073392e-09,"Up"
"SMC2",1.36309322045065,-0.0236355798365483,6.73190321033442,1.67537103587171e-11,2.01968327025319e-09,"Up"
"CSTF3",1.36220813066722,-0.0236572660467804,6.72753202084784,1.72646145870601e-11,2.06200244035638e-09,"Up"
"CENPK",1.36100640471433,-0.0235781946197661,6.72159706153701,1.79827807035328e-11,2.12807236967771e-09,"Up"
"TIMP1",1.36050281500708,-0.0236509174039325,6.7191099849996,1.82923563417488e-11,2.14502822229289e-09,"Up"
"FAR2",1.36022853392769,-0.0236617128147421,6.71775539409473,1.84631561797134e-11,2.14555181587499e-09,"Up"
"BUB3",1.35936179596962,-0.0236599250661001,6.71347483869697,1.90132181076395e-11,2.17874944013107e-09,"Up"
"MELK",1.3592479521648,-0.0235471644933506,6.71291259873887,1.9086649099528e-11,2.17874944013107e-09,"Up"
"CLDN4",1.35782399765652,-0.0236379906394313,6.70588012012198,2.00289137411359e-11,2.26625402058694e-09,"Up"
"ETV4",1.3547641708326,-0.0236057720814785,6.69076856523347,2.2210386794644e-11,2.49123286316621e-09,"Up"
"CD276",1.35293046934677,-0.0236521782183347,6.68171247080494,2.36274348745754e-11,2.6273300210961e-09,"Up"
"SMC4",1.3515234923199,-0.0236413430216947,6.67476383880977,2.47743694151384e-11,2.72557164891318e-09,"Up"
"COL12A1",1.35133331664875,-0.0236534609580114,6.67382461895896,2.49335184566056e-11,2.72557164891318e-09,"Up"
"CDK2",1.35070108409453,-0.0236516841642793,6.67070221449128,2.54698314457608e-11,2.76080130940226e-09,"Up"
"LMNB1",1.35026979319503,-0.023625341943491,6.66857219979576,2.58421510444196e-11,2.7778158860164e-09,"Up"
"DSN1",1.34883398427308,-0.0236418403308757,6.66148117583195,2.71204364463356e-11,2.89112817951474e-09,"Up"
"CENPI",1.34452110064641,-0.02356347703935,6.64018115416315,3.13438059029087e-11,3.29072027299137e-09,"Up"
"MCM10",1.34448754292817,-0.0235392721659437,6.64001542278999,3.13790676469446e-11,3.29072027299137e-09,"Up"
"BIRC5",1.34348057688047,-0.0236169053670115,6.63504232346893,3.2455417105417e-11,3.37614859066753e-09,"Up"
"MMP3",1.34158329117839,-0.0236606243876788,6.62567220591779,3.45824853005494e-11,3.56863582313429e-09,"Up"
"MYOC",-1.34025181501961,-0.0202030550585027,-6.6190964497675,3.61560730876747e-11,3.68734295815692e-09,"Down"
"GHRL",-1.34012911414024,-0.0208601819275491,-6.61849046740965,3.63045628099798e-11,3.68734295815692e-09,"Down"
"AURKA",1.33873189274894,-0.0236082297207328,6.61159001553405,3.80381100408531e-11,3.83323110482003e-09,"Up"
"ATAD5",1.33762711434118,-0.0235469879299687,6.60613385068906,3.94659263327523e-11,3.94032331819711e-09,"Up"
"CLDN3",1.33744085236966,-0.0236555237234219,6.60521395941143,3.97117630332293e-11,3.94032331819711e-09,"Up"
"NUDCD1",1.33670786832232,-0.0235878568520994,6.60159397393476,4.0693821056999e-11,4.00694349476512e-09,"Up"
"NUP107",1.33260425397098,-0.023618577183214,6.58132746962581,4.66467859030175e-11,4.5583097830532e-09,"Up"
"TGFBI",1.33098609307592,-0.0236104300267002,6.57333586467842,4.92214665842386e-11,4.77374208624131e-09,"Up"
"RAD51",1.32932015146336,-0.0236004417124561,6.56510828528654,5.20173183653286e-11,5.00724917607742e-09,"Up"
"ESRRG",-1.32802606855162,-0.0204540899385608,-6.55871720302063,5.42957547104444e-11,5.14883104697405e-09,"Down"
"INHBA",1.32792905682144,-0.0234366587221714,6.55823809156439,5.44704392867281e-11,5.14883104697405e-09,"Up"
"TUBB",1.32780997113323,-0.0236624758561664,6.55764996353709,5.46856231828393e-11,5.14883104697405e-09,"Up"
"GTPBP4",1.32719285533661,-0.0236147284309068,6.55460221614165,5.58141200902802e-11,5.21700242785887e-09,"Up"
"MYBL2",1.32586816321064,-0.0235609413689754,6.5480599642679,5.83140125557239e-11,5.41145646011714e-09,"Up"
"MMP7",1.32533990631255,-0.023661855878378,6.5454510639706,5.93411715533736e-11,5.46744122762119e-09,"Up"
"RRM2",1.32409275726802,-0.0236104823304082,6.53929177381297,6.18368849430975e-11,5.65697857362421e-09,"Up"
"SPARC",1.32319235729883,-0.0236590283106891,6.53484497197124,6.37022293405993e-11,5.78658490327035e-09,"Up"
"ZWINT",1.3223388849454,-0.0236105185948157,6.53062993136374,6.55211028381047e-11,5.91018675180918e-09,"Up"
"CSE1L",1.32071893195033,-0.0236347469526644,6.52262947577899,6.91142084141399e-11,6.19100121065272e-09,"Up"
"OIP5",1.31926620100132,-0.0236464252552525,6.51545487906566,7.24998160615771e-11,6.4494836370916e-09,"Up"
"GPRC5A",1.31839522490282,-0.0236543801439092,6.51115339278017,7.46068454928435e-11,6.5813338910462e-09,"Up"
"RBL1",1.31823439735007,-0.0236204465969837,6.51035911436806,7.50024096429019e-11,6.5813338910462e-09,"Up"
"SKA1",1.31466133049766,-0.0235989953307561,6.49271282293798,8.43388511180019e-11,7.35058676061558e-09,"Up"
"SPAG5",1.31431208776879,-0.023589127790109,6.49098801922508,8.53101746018602e-11,7.38534189388855e-09,"Up"
"NUDT5",1.31361058602408,-0.0236624151067694,6.4875235152745,8.72943751251034e-11,7.46602083335338e-09,"Up"
"LEF1",1.31357377493391,-0.0236604919931487,6.48734171648599,8.73997322146182e-11,7.46602083335338e-09,"Up"
"RRM1",1.31287227332174,-0.0236110855155053,6.48387721318998,8.94314266585643e-11,7.58931560834751e-09,"Up"
"FBXO5",1.31013616276665,-0.0236489259814703,6.47036439458498,9.78063904713643e-11,8.24578189993547e-09,"Up"
"GAS2L3",1.30887535036502,-0.0236598654092252,6.46413762525855,1.01919160942487e-10,8.53672244803336e-09,"Up"
"STMN1",1.30821522195495,-0.0236584491230704,6.46087745163557,1.04139448403761e-10,8.66641770942012e-09,"Up"
"EFTUD2",1.3078860138776,-0.0236528912904935,6.45925159297855,1.05264313592774e-10,8.70150102628184e-09,"Up"
"NCAPH",1.30769853690194,-0.0235865742092283,6.45832570116473,1.05910199327564e-10,8.70150102628184e-09,"Up"
"SPP1",1.30399823553231,-0.0236389620670815,6.44005103711702,1.19480748924936e-10,9.75431759735918e-09,"Up"
"RUVBL1",1.3035842649827,-0.0236517474977109,6.43800656236644,1.21100765870129e-10,9.82439483621883e-09,"Up"
"WDR12",1.30329122482929,-0.0236611089955559,6.43655932609536,1.22260496297665e-10,9.85648838589737e-09,"Up"
"OLFML2B",1.30186787604813,-0.0236551834024093,6.42952983898065,1.28049723479686e-10,1.022617247004e-08,"Up"
"PPIH",1.30177619797476,-0.023661778763649,6.42907706883466,1.28431656728931e-10,1.022617247004e-08,"Up"
"LIPA",1.30142363761993,-0.0234909697531457,6.42733588037526,1.29910833759064e-10,1.02804898445286e-08,"Up"
"CTNNB1",1.3005716451583,-0.023615707426972,6.42312814850369,1.33554468316028e-10,1.05043846756613e-08,"Up"
"CPA2",-1.29917088571859,-0.0212089443445508,-6.4162102232821,1.39763158932905e-10,1.09260908307609e-08,"Down"
"CDCA3",1.2985164690438,-0.0236600916935863,6.41297825818405,1.42759605759402e-10,1.10931093656056e-08,"Up"
"MARCKSL1",1.29717753448482,-0.0235981052714327,6.40636566726157,1.49087257151183e-10,1.1515428323312e-08,"Up"
"CCNA2",1.29518943179168,-0.0236353463479845,6.39654703218835,1.58991339589974e-10,1.21410203973423e-08,"Up"
"RACGAP1",1.29517430450731,-0.0236591704935555,6.39647232312759,1.59069109787646e-10,1.21410203973423e-08,"Up"
"CENPJ",1.29473895464384,-0.0236622956333691,6.39432226244243,1.61323264763673e-10,1.22406399540389e-08,"Up"
"CASK",1.29440586102837,-0.0236564470059502,6.39267721429332,1.63069005496607e-10,1.23007432859692e-08,"Up"
"AP1S1",1.2940840951866,-0.0235957243348891,6.3910881105764,1.64772899563404e-10,1.23570094852811e-08,"Up"
"KIF18A",1.2936770769431,-0.0235436010979727,6.38907797115307,1.66953180297896e-10,1.24324922817504e-08,"Up"
"KIF20B",1.29353754484738,-0.0235997234448688,6.38838886453216,1.67707082488919e-10,1.24324922817504e-08,"Up"
"AGT",1.29272448032484,-0.0236469629890764,6.38437338592263,1.72166749024989e-10,1.26901651181333e-08,"Up"
"GART",1.29123630789253,-0.023661608679852,6.37702375449296,1.80631442550611e-10,1.32384373719337e-08,"Up"
"SEH1L",1.29035201787128,-0.0236608312186688,6.37265651478873,1.85852444744416e-10,1.35441281624759e-08,"Up"
"MDK",1.28899010932765,-0.0236624068018157,6.36593046233724,1.94183016317159e-10,1.4071723188062e-08,"Up"
"MCM7",1.28638005311444,-0.0236591880475506,6.35304018782245,2.11180002289361e-10,1.52179377068741e-08,"Up"
"CCT2",1.28609865564752,-0.0236605425173251,6.35165045124205,2.13097051165516e-10,1.52707714610222e-08,"Up"
"F2R",1.28470762724091,-0.0236270901453047,6.344780584636,2.22826098958302e-10,1.58797450301831e-08,"Up"
"CCT3",1.28400742500535,-0.0236599096637404,6.34132249856621,2.27886250626444e-10,1.61511249825851e-08,"Up"
"CKAP5",1.28353928203533,-0.0236214464616405,6.33901048269267,2.31331807063301e-10,1.63057321273745e-08,"Up"
"FAT1",1.28286896982062,-0.0236620525824389,6.33570001435313,2.36354084958824e-10,1.65691920754558e-08,"Up"
"STK3",1.28258610980131,-0.0236178421326171,6.33430305467096,2.38505208925108e-10,1.66224666456764e-08,"Up"
"EPHB2",1.28216175776809,-0.0236241351015076,6.33220730892743,2.41768273902238e-10,1.66224666456764e-08,"Up"
"XPR1",1.2821605166723,-0.0236616877796783,6.33220117953248,2.41777880992909e-10,1.66224666456764e-08,"Up"
"PSMB3",1.28209717635034,-0.0236139923658436,6.33188836092965,2.42268682020868e-10,1.66224666456764e-08,"Up"
"HMMR",1.28148926033036,-0.0235601067953762,6.32888604843546,2.47028963070615e-10,1.68593999716818e-08,"Up"
"PIGU",1.27903439056239,-0.0236624021999701,6.31676219261693,2.67198431114782e-10,1.81399608576293e-08,"Up"
"CTSA",1.27854783665957,-0.0236398854394993,6.31435925074087,2.71382802907267e-10,1.83275747366536e-08,"Up"
"PAICS",1.27778953449875,-0.0236511592752587,6.31061422679517,2.78032110365795e-10,1.86788343312937e-08,"Up"
"NCAPD2",1.2771592928402,-0.0236536441302955,6.30750165475617,2.83679337712016e-10,1.89594807106078e-08,"Up"
"CDC25B",1.27636722543423,-0.0236474552223245,6.303589874525,2.90935626424572e-10,1.93442198208791e-08,"Up"
"KIF22",1.27547189241613,-0.0236622679207655,6.29916809681497,2.99356291392118e-10,1.97520645043762e-08,"Up"
"STIP1",1.27539063966471,-0.0236600324094637,6.2987668141661,3.00132153101615e-10,1.97520645043762e-08,"Up"
"GNL3",1.27489967716751,-0.0236621155914472,6.29634209958204,3.04862177766427e-10,1.99615087868484e-08,"Up"
"MMP12",1.27310824778565,-0.023662483497865,6.28749477422974,3.22746495342889e-10,2.10257931486259e-08,"Up"
"ATP2A2",1.27256204317252,-0.0236623058193003,6.28479723562165,3.28400343289321e-10,2.12866132064772e-08,"Up"
"SNRPB",1.27189877071029,-0.0236537044146237,6.28152153448042,3.35396096826763e-10,2.16313712648421e-08,"Up"
"VCAN",1.27036940092325,-0.0236596454610135,6.27396844183444,3.52086039377694e-10,2.25948150344919e-08,"Up"
"FBP2",-1.27018739547901,-0.0216475644241489,-6.27306957225165,3.54125451665265e-10,2.26131891140111e-08,"Down"
"TTL",1.26910465917452,-0.0236452816528731,6.26772226665672,3.66498287009081e-10,2.32879872124637e-08,"Up"
"TEX10",1.26884547450247,-0.0236609021276801,6.26644223232033,3.69522123128262e-10,2.32918959258962e-08,"Up"
