"gene","logFC","AveExpr","t","P.Value","adj.P.Val","sig"
"MORC2",1.13501655576005,-0.0529761372966897,6.58807400051767,4.4558853758532e-11,4.3975872580819e-10,"Up"
"PPRC1",1.13455154902881,-0.055178514563735,6.58537492204116,4.5375923370041e-11,4.47138300649472e-10,"Up"
"ZNF670",1.13419735610159,-0.0506192546236388,6.58331904963722,4.60080979897308e-11,4.52331140220684e-10,"Up"
"MCM6",1.13270648193087,-0.0587142415802394,6.57466544074288,4.87648522699156e-11,4.77977074034682e-10,"Up"
"GTF2E1",1.13202103517355,-0.0538180363797363,6.57068684330504,5.00859147247774e-11,4.90180739024964e-10,"Up"
"ZNF26",1.1318976960818,-0.0553238102324641,6.56997093562998,5.032731492694e-11,4.91685074177761e-10,"Up"
"SPARC",1.13086009760834,-0.0593884840490478,6.56394831376488,5.24036862269397e-11,5.10540142478319e-10,"Up"
"MSI2",1.1297858675508,-0.0481619529453306,6.55771306805262,5.46416156381568e-11,5.30340255919176e-10,"Up"
"POLE",1.12972758195837,-0.0521945853044259,6.55737475598645,5.47656790018262e-11,5.311447319132e-10,"Up"
"ADAM8",1.1291966853003,-0.0477957701912847,6.55429322695306,5.59084744251944e-11,5.41007810660602e-10,"Up"
"FANCC",1.12904730594989,-0.0531342349227088,6.5534261715699,5.6234208121756e-11,5.43751911965915e-10,"Up"
"NUP62",1.12846173827999,-0.0519492614605128,6.55002731089065,5.75290819218493e-11,5.55855900906318e-10,"Up"
"UBAP2",1.12769410189738,-0.0515271065313778,6.54557165315732,5.92708219396273e-11,5.72256236676087e-10,"Up"
"ATP6V0D2",1.1275560866759,-0.050230171343092,6.544770559563,5.95893978423769e-11,5.74472079797324e-10,"Up"
"RELT",1.12745076081112,-0.0501397630883017,6.5441592076071,5.98336442085213e-11,5.76395949698071e-10,"Up"
"MMP9",1.1273604558485,-0.0530180386001598,6.54363504276267,6.00438372046239e-11,5.77989146345107e-10,"Up"
"LY75",1.12691323050721,-0.0555439122853975,6.54103917433386,6.10954864273775e-11,5.86798718858334e-10,"Up"
"SSB",1.12585781045531,-0.0571426214583232,6.53491310915154,6.36492444012307e-11,6.10417549094034e-10,"Up"
"SLC5A2",1.12509404408458,-0.0435683989695718,6.53047991446031,6.55621181520973e-11,6.27829073529252e-10,"Up"
"CDCA3",1.12414159093409,-0.0589525528027917,6.52495150890037,6.80264730243437e-11,6.49018842855776e-10,"Up"
"SMC6",1.12392174136604,-0.0570339213375334,6.52367541718531,6.86080485353733e-11,6.54083679274043e-10,"Up"
"FOXN2",1.12307361344253,-0.0523575732650384,6.51875255549345,7.08975398871365e-11,6.7491318598094e-10,"Up"
"METTL1",1.12259877868748,-0.0546402379885856,6.51599643137487,7.22117909153733e-11,6.86917323759145e-10,"Up"
"AGMAT",1.12248857551652,-0.0581594081594456,6.51535676965216,7.25202017996117e-11,6.89024251177547e-10,"Up"
"GAS2L3",1.12248147606063,-0.0590524159428572,6.51531556167105,7.25401142025823e-11,6.89024251177547e-10,"Up"
"RRP15",1.12228831336746,-0.050944648395473,6.51419437087409,7.30839493448199e-11,6.93679074759994e-10,"Up"
"LIME1",1.12188751393148,-0.0392500849519332,6.51186797631164,7.42251203605862e-11,7.03992520243531e-10,"Up"
"ILF3",1.1215959356785,-0.0556220034099943,6.51017554363496,7.50662437803691e-11,7.10924727256227e-10,"Up"
"CCT2",1.12104009067955,-0.0587382980001671,6.50694920480549,7.6695603633851e-11,7.25290756065281e-10,"Up"
"ATAT1",1.11983655516917,-0.0496635761760675,6.49996342035646,8.03429594929415e-11,7.59226252380552e-10,"Up"
"RHPN2",1.11977462244707,-0.0479374946656844,6.49960393894254,8.05351682192345e-11,7.60485457437706e-10,"Up"
"ADNP",1.11975473249183,-0.0596928632490676,6.49948848996841,8.0596992198969e-11,7.60511194913494e-10,"Up"
"SLC11A1",1.1195311830087,-0.0480666939690261,6.49819092251873,8.12950513513498e-11,7.65419611227052e-10,"Up"
"RDH8",1.11948159068514,-0.0363967661586169,6.49790306953915,8.1450708484123e-11,7.66325812353539e-10,"Up"
"RAI14",1.1191673578423,-0.0556590617397441,6.49607914088231,8.24437973284071e-11,7.74539360334394e-10,"Up"
"ALG8",1.11892150527354,-0.0571545126400775,6.49465211771861,8.32290260563863e-11,7.80779059710056e-10,"Up"
"MFAP2",1.11880300772503,-0.0607751366125522,6.49396431222848,8.3610102617792e-11,7.8378300206633e-10,"Up"
"CASP8",1.11878419330437,-0.053191583387482,6.49385510607204,8.36707646984523e-11,7.8378300206633e-10,"Up"
"VIL1",1.11811001852313,-0.0576952483495113,6.48994193553229,8.58730903650064e-11,8.03829457632959e-10,"Up"
"CXCL16",1.11789853701954,-0.0564024650356108,6.48871441529191,8.65755421264583e-11,8.0981719933951e-10,"Up"
"WDR5B",1.1167240292809,-0.0478343811364615,6.48189711922947,9.05802064833375e-11,8.45437108124871e-10,"Up"
"C2",1.11662238441106,-0.0580051261492166,6.4813071331884,9.09351750035197e-11,8.4813653099812e-10,"Up"
"DENND4B",1.11643693075059,-0.0480523532243286,6.48023068859154,9.15863319313237e-11,8.53592554611376e-10,"Up"
