"gene","module","MM","GS","GS_trait","hubScore"
"ZNF385D","turquoise",0.824,-0.21,"status_Tumor",0.173
"ITGA7","turquoise",0.824,-0.198,"status_Tumor",0.163
"VSTM4","turquoise",0.824,-0.172,"status_Tumor",0.142
"FAXDC2","turquoise",0.823,-0.386,"status_Tumor",0.317
"BCHE","turquoise",0.823,-0.344,"status_Tumor",0.283
"PLPP7","turquoise",0.823,-0.225,"status_Tumor",0.185
"SRPX","turquoise",0.822,-0.351,"status_Tumor",0.289
"MBNL1-AS1","turquoise",0.822,-0.214,"status_Tumor",0.176
"CMYA5","turquoise",0.822,-0.115,"status_Tumor",0.094
"RAI2","turquoise",0.821,-0.306,"status_Tumor",0.251
"SLIT3","turquoise",0.821,-0.225,"status_Tumor",0.184
"SOX10","turquoise",0.82,-0.372,"status_Tumor",0.305
"ASB2","turquoise",0.82,-0.345,"status_Tumor",0.283
"DMD","turquoise",0.82,-0.295,"status_Tumor",0.242
"PLIN4","turquoise",0.819,-0.348,"status_Tumor",0.285
"TCEAL5","turquoise",0.819,-0.324,"status_Tumor",0.266
"ITIH5","turquoise",0.819,-0.298,"status_Tumor",0.244
"NRXN3","turquoise",0.819,-0.165,"status_Tumor",0.135
"PLCD4","turquoise",0.818,-0.369,"status_Tumor",0.302
"SCRG1","turquoise",0.818,-0.104,"status_Tumor",0.085
"MGP","turquoise",0.817,-0.128,"status_Tumor",0.105
"DLG2","turquoise",0.816,-0.309,"status_Tumor",0.252
"ACTG2","turquoise",0.816,-0.308,"status_Tumor",0.251
"EPHA7","turquoise",0.816,-0.26,"status_Tumor",0.212
"LRRN4CL","turquoise",0.815,-0.33,"status_Tumor",0.269
"LRFN5","turquoise",0.815,-0.284,"status_Tumor",0.232
"FAM107A","turquoise",0.814,-0.455,"status_Tumor",0.37
"FNDC5","turquoise",0.814,-0.376,"status_Tumor",0.306
"KCNK3","turquoise",0.814,-0.339,"status_Tumor",0.276
"AKAP6","turquoise",0.814,-0.272,"status_Tumor",0.222
"ZNF677","turquoise",0.814,-0.27,"status_Tumor",0.22
"PODN","turquoise",0.814,-0.179,"status_Tumor",0.146
"KIAA0408","turquoise",0.813,-0.335,"status_Tumor",0.272
"NIBAN1","turquoise",0.813,-0.328,"status_Tumor",0.267
"ZNF423","turquoise",0.813,-0.111,"status_Tumor",0.091
"LMO3","turquoise",0.812,-0.195,"status_Tumor",0.158
"GLI3","turquoise",0.812,-0.193,"status_Tumor",0.156
"COL14A1","turquoise",0.812,-0.161,"status_Tumor",0.131
"GREM2","turquoise",0.811,-0.3,"status_Tumor",0.243
"AGTR1","turquoise",0.811,-0.282,"status_Tumor",0.229
"SMOC2","turquoise",0.811,-0.236,"status_Tumor",0.192
"CACNA1H","turquoise",0.811,-0.226,"status_Tumor",0.183
"ABCA6","turquoise",0.811,-0.221,"status_Tumor",0.179
"GNAO1-DT","turquoise",0.811,-0.214,"status_Tumor",0.174
"NRXN1","turquoise",0.81,-0.389,"status_Tumor",0.315
"BVES-AS1","turquoise",0.81,-0.31,"status_Tumor",0.251
"FAT3","turquoise",0.81,-0.25,"status_Tumor",0.203
"FLNC","turquoise",0.81,-0.226,"status_Tumor",0.183
"HDGFL3","turquoise",0.81,-0.172,"status_Tumor",0.139
"CNTN1","turquoise",0.809,-0.281,"status_Tumor",0.228
"FOXF1","turquoise",0.808,-0.317,"status_Tumor",0.256
"NPAS3","turquoise",0.808,-0.249,"status_Tumor",0.201
"PMP2","turquoise",0.807,-0.414,"status_Tumor",0.334
"RBM24","turquoise",0.807,-0.277,"status_Tumor",0.224
"FGF14-AS2","turquoise",0.806,-0.339,"status_Tumor",0.273
"PSD","turquoise",0.806,-0.294,"status_Tumor",0.237
"NBEA","turquoise",0.806,-0.22,"status_Tumor",0.178
"KCNA5","turquoise",0.805,-0.406,"status_Tumor",0.327
"SLC2A4","turquoise",0.805,-0.381,"status_Tumor",0.306
"DUSP26","turquoise",0.805,-0.355,"status_Tumor",0.286
"PRUNE2","turquoise",0.805,-0.247,"status_Tumor",0.199
"MIR99AHG","turquoise",0.805,-0.163,"status_Tumor",0.131
"RAB9B","turquoise",0.804,-0.298,"status_Tumor",0.239
"NTRK3","turquoise",0.804,-0.272,"status_Tumor",0.219
"CACNB2","turquoise",0.804,-0.227,"status_Tumor",0.183
"USP51","turquoise",0.804,-0.212,"status_Tumor",0.17
"PTGIS","turquoise",0.804,-0.198,"status_Tumor",0.159
"LINC02884","turquoise",0.803,-0.289,"status_Tumor",0.232
"SYPL2","turquoise",0.803,-0.187,"status_Tumor",0.15
"CCDC69","turquoise",0.802,-0.419,"status_Tumor",0.336
"ARHGEF26","turquoise",0.802,-0.322,"status_Tumor",0.258
"FBLN5","turquoise",0.802,-0.156,"status_Tumor",0.125
"FGF7","turquoise",0.802,-0.112,"status_Tumor",0.09
"ZSCAN18","turquoise",0.801,-0.331,"status_Tumor",0.265
"LDOC1","turquoise",0.8,-0.324,"status_Tumor",0.259
"FLNA","turquoise",0.8,-0.221,"status_Tumor",0.177
"MN1","turquoise",0.8,-0.145,"status_Tumor",0.116
"SGCD","turquoise",0.8,-0.129,"status_Tumor",0.103
"PTH1R","turquoise",0.799,-0.371,"status_Tumor",0.296
"RADIL","turquoise",0.799,-0.342,"status_Tumor",0.274
"TSPAN2","turquoise",0.799,-0.243,"status_Tumor",0.195
"PCDH10","turquoise",0.799,-0.197,"status_Tumor",0.157
